,24-05-2022,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,AT,BE,DE-LU,FR,NL
0,00 - 01,2092,3562,3562,3562,3562,12000,6367,3562,8922,8922,8922,677,677,677,12000,12000,12000,11304,16128,9207,17300,23000
1,01 - 02,1855,3201,3201,3201,3201,10777,7402,3201,7623,7623,7623,665,665,665,10777,10777,10777,10410,13087,8285,16576,17660
2,02 - 03,1609,3117,3117,3117,3117,9732,6606,3117,6803,6803,6803,649,649,649,9732,9732,9732,10538,12465,8177,15445,15770
3,03 - 04,1438,3089,3089,3089,3089,9624,4852,3089,4997,4997,4997,633,633,633,9624,9624,9624,11370,12952,9624,14488,13800
4,04 - 05,1297,2889,2889,2889,2889,10740,3288,2889,3464,3464,3464,633,633,633,10740,10740,10740,11575,12760,10740,13704,13283
5,05 - 06,1281,2603,2603,2603,2603,11837,2603,2603,2603,2603,2603,654,654,654,11837,11837,11837,15595,15595,15595,15595,15595
6,06 - 07,2316,5544,5544,5544,5544,18891,5544,5544,5710,5710,5710,685,685,685,18891,18891,18891,18891,18891,18891,18891,18891
7,07 - 08,9382,15444,15444,15444,15444,24087,15444,15444,15444,15444,15444,727,727,727,24087,24087,24087,21029,21029,21029,21029,21029
8,08 - 09,12000,16349,16349,16349,16349,25502,16349,16349,16349,16349,16349,729,729,729,25502,25502,25502,20980,20710,20914,21200,20726
9,09 - 10,10125,14248,14248,14340,16263,21591,16263,16263,16263,16263,16263,718,718,718,21591,21591,21591,19300,19300,19300,19300,19300
10,10 - 11,8003,7666,7666,7666,16040,18465,16040,16040,16040,16040,16040,690,690,690,18465,18465,18465,18465,17694,18005,18018,17635
11,11 - 12,5282,4985,4985,4985,15830,18000,15830,15830,15830,15830,15830,678,678,678,18000,18000,18000,18000,16336,16336,16947,16336
12,12 - 13,3763,3642,3642,3642,14689,17004,15050,15050,15215,15215,15215,665,665,665,17004,17004,17004,17004,15050,15050,20133,15050
13,13 - 14,2600,3319,3319,3319,13426,15002,13756,13756,14196,14196,14196,658,658,658,15002,15002,15002,17001,13756,13756,18825,13756
14,14 - 15,2239,2861,2861,2861,12151,15720,12450,12450,12848,12848,12848,640,640,640,15720,15720,15720,16000,12450,12450,17540,12450
15,15 - 16,2673,2653,2653,2653,14639,16585,14779,14779,15132,15132,15132,621,621,621,16585,16585,16585,16585,14999,14999,16094,14999
16,16 - 17,2937,2483,2483,2483,15744,17007,15744,15744,15744,15744,15744,653,653,653,17007,17007,17007,17007,15819,16247,16247,15819
17,17 - 18,4907,2590,2590,10006,16731,19495,16263,16731,16263,16263,16263,674,674,674,19495,19495,19495,18500,16378,17143,16972,16524
18,18 - 19,7784,2975,2975,10730,19362,20921,16503,19362,16503,16503,16503,664,664,664,20921,20921,20921,19838,19838,19838,19838,19838
19,19 - 20,10001,2347,2347,11355,21298,24343,16561,21298,16561,16561,16561,799,799,799,24343,24343,24343,21298,21298,21298,21298,21298
20,20 - 21,9781,2320,2320,10035,21471,21471,16574,21471,16574,16574,16574,770,770,770,21471,21471,21471,21999,21999,21999,21999,21999
21,21 - 22,8672,2138,2138,6655,21501,21501,16548,21658,16548,16548,16548,736,736,736,21501,21501,21501,22030,22030,22030,22030,22030
22,22 - 23,5507,1534,1534,1534,18214,18214,16497,18214,16497,16497,16497,713,713,713,18214,18214,18214,21191,21191,21191,21191,21191
23,23 - 00,2122,669,669,669,15777,9980,15777,15777,15777,15777,15777,669,669,669,9980,15777,15777,18964,18964,18964,18964,18964
24,,,,,,,,,,,,,,,,,,,,,,,
25,Min,1281,669,669,669,2603,9624,2603,2603,2603,2603,2603,621,621,621,9624,9624,9624,10410,12450,8177,13704,12450
26,Max,12000,16349,16349,16349,21501,25502,16574,21658,16574,16574,16574,799,799,799,25502,25502,25502,22030,22030,22030,22030,23000
27,Average,4986,4676,4676,6197,12872,17020,12629,12926,12829,12829,12829,683,683,683,17020,17262,17262,17286,17113,16295,18318,17789
28,Peak,6026,5510,5510,7532,16044,19136,15466,16138,15579,15579,15579,682,682,682,19136,19136,19136,18332,16969,17111,18534,16978
29,Off-peak 1,2659,4931,4931,4931,4931,13461,6513,4931,6946,6946,6946,665,665,665,13461,13461,13461,13839,15363,12694,16629,17379
30,Off-peak 2,6521,1665,1665,4723,19241,17792,16349,19280,16349,16349,16349,722,722,722,17792,19241,19241,21046,21046,21046,21046,21046
31,24-05-2022,SYS,SE1,SE2,SE3,SE4,FI,DK1,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,Tromsø,EE,LV,LT,AT,BE,DE-LU,FR,NL
